ID,Language,Label,Definition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/airborneGeophysicalSurvey,en,airborne geophysical survey,A 2D seismic survey may include one or more seismic lines. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of airborne geophysical measurements.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/groundGravitySurvey,en,ground gravity survey,A 3D seismic survey may include one or more 3D seismic measurements. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of ground gravity measurements.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/groundMagneticSurvey,en,ground magnetic survey,A borehole logging survey may include one or more borehole logging measurements. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of ground magnetic measurements.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/3DResistivitySurvey,en,3D resistivity survey,A 1D resistivity survey may include any number of VES stations. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of 3D Multielectrode DC measurements.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/seismologicalSurvey,en,seismological survey,A 2D resistivity survey may include one or more multielectrode DC profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of seismological measurements.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/2DSeismicSurvey,en,2D seismic survey,A time domain EM survey may include any number of TDEM soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of 2D seismic measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/3DSeismicSurvey,en,3D seismic survey,A frequency domain EM survey may include any number of FDEM soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of 3D seismic measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/boreholeLoggingSurvey,en,borehole logging survey,A magnetotelluric survey may include any number of MT soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of borehole logging measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/1DResistivitySurvey,en,1D resistivity survey,A georadar survey may include one or more georadar profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Vertical Electric Sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/2DResistivitySurvey,en,2D resistivity survey,A CPT survey may include any number of CPT soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of 2D Multielectrode DC measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/timeDomainEMSurvey,en,time-domain EM survey,A VSP survey may include any number of vertical seismic profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Time domain EM sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/frequencyDomainEMSurvey,en,frequency domain EM Survey,A sonar survey may include any number of individual sonar measurements. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of FrequencyDomain EM sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/magnetotelluricSurvey,en,magnetotelluric survey,A magnetotelluric survey may include any number of MT soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of magnetotelluric sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/geoRadarSurvey,en,georadar survey,A georadar survey may include one or more georadar profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of geoRadar measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/CPTSurvey,en,CPT survey,A CPT survey may include any number of CPT soundings. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Cone penetration test sounding measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/VSPSurevey,en,VSP surevey,A VSP survey may include any number of vertical seismic profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Vertical Seismic Profiling measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/invalid,Invalid,,http://inspire.ec.europa.eu/codelist/SurveyTypeValue/VSPSurvey,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/sonarSurvey,en,sonar survey,A sonar survey may include any number of individual sonar measurements. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of sonar mapping measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/SurveyTypeValue/VSPSurvey,en,VSP survey,A VSP survey may include any number of vertical seismic profiles. Geometry is the overall bounding polygon and metadata also includes responsible parties.,Campaign of Vertical Seismic Profiling measurements,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SurveyTypeValue,Survey Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,http://inspire.ec.europa.eu/codelist/SurveyTypeValue/VSPSurevey
